FoodItem,Category,Calories,Protein(g),Carbs(g),Fats(g),DietType,Recipe,BaseWeight(g)
Honey Glazed Tuna Sandwich,Lunch,540.0,28.0,63.0,16.5,Non-Vegetarian,1. Gather your Honey Glazed Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,269
Lemon Pepper Pork Chop & Mash,Dinner,561.0,36.8,40.0,25.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Lemon Pepper Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,254
BBQ Lentil Soup,Dinner,234.0,10.0,45.0,2.2,Vegetarian,1. Gather your BBQ Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,143
Extra Lean Paneer,Dinner,256.0,21.6,5.0,12.5,Vegetarian,1. Cube the Extra Lean Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,98
Spicy Paneer,Dinner,336.0,18.0,5.5,26.2,Vegetarian,1. Cube the Spicy Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,124
Loaded Scrambled Egg Whites,Breakfast,192.0,28.6,3.0,0.0,Non-Vegetarian,1. Prepare the Loaded Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,79
Extra Lean Beef Stir Fry,Dinner,384.0,38.4,35.0,10.0,Non-Vegetarian,1. Gather your Extra Lean Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,208
Smoked Rice Cakes,Snack,88.0,2.2,16.0,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Smoked Rice Cakes. 3. Simmer covered for 15-20 mins until fluffy.,46
Chicken Breast & Broccoli,Lunch,250.0,35.0,10.0,5.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,125
Teriyaki Brown Rice,Lunch,268.8,5.2,72.0,1.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Teriyaki Brown Rice. 3. Simmer covered for 15-20 mins until fluffy.,196
Spicy Tofu Scramble,Breakfast,168.0,14.0,4.4,10.5,Vegetarian,1. Cube the Spicy Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,72
Herb-Roasted Chicken Breast & Broccoli,Lunch,287.5,36.8,10.5,6.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Herb-Roasted Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,133
Chipotle Shrimp Pasta,Dinner,576.0,31.5,60.5,15.6,Non-Vegetarian,1. Gather your Chipotle Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,269
Herb-Roasted Chia Seed Pudding,Breakfast,218.5,8.4,21.0,12.0,Vegetarian,1. Prepare the Herb-Roasted Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,104
Cheesy Pork Chop & Mash,Dinner,770.0,42.0,44.0,40.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cheesy Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,315
Cajun Oatmeal,Breakfast,172.5,5.0,29.7,3.4,Vegetarian,1. Prepare the Cajun Oatmeal base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,95
Lemon Pepper Cottage Cheese,Snack,122.4,14.7,5.0,4.0,Vegetarian,1. Simply portion out your Lemon Pepper Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,59
Buttermilk Lentil Soup,Dinner,252.0,11.0,36.0,3.0,Vegetarian,1. Gather your Buttermilk Lentil Soup ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,125
Chipotle Avocado Toast,Breakfast,300.0,6.3,26.4,19.5,Vegetarian,1. Prepare the Chipotle Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,130
Cajun Scrambled Eggs,Breakfast,161.0,12.0,1.1,11.5,Non-Vegetarian,1. Prepare the Cajun Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,62
Spicy Cottage Cheese,Snack,126.0,14.0,5.5,4.2,Vegetarian,1. Simply portion out your Spicy Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,59
Cheesy Paneer,Dinner,448.0,21.6,5.5,40.0,Vegetarian,1. Cube the Cheesy Paneer. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,168
Cheesy Baked Salmon,Dinner,630.0,42.0,11.0,44.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cheesy Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,244
Spicy Chicken Breast,Lunch,173.2,31.0,0.0,3.2,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Spicy Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,86
Lemon Pepper Beef Stir Fry,Dinner,489.6,33.6,35.0,20.0,Non-Vegetarian,1. Gather your Lemon Pepper Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,222
Quinoa Bowl,Lunch,320.0,14.0,45.0,10.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,172
Keto Chicken Shawarma,Lunch,405.0,33.0,8.0,32.4,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Keto Chicken Shawarma to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,184
Teriyaki White Rice,Lunch,256.2,4.2,70.4,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Teriyaki White Rice. 3. Simmer covered for 15-20 mins until fluffy.,187
Spicy Chia Seed Pudding,Breakfast,199.5,8.0,22.0,10.5,Vegetarian,1. Prepare the Spicy Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,101
Cajun Chicken Breast,Lunch,189.7,31.0,0.0,3.4,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Cajun Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,86
Garlic Turkey Wrap,Lunch,385.0,26.2,36.0,13.2,Non-Vegetarian,1. Gather your Garlic Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,188
Buttermilk Chicken Breast,Lunch,231.0,34.1,0.0,4.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Buttermilk Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,96
Cajun Scrambled Egg Whites,Breakfast,138.0,22.0,2.2,0.0,Non-Vegetarian,1. Prepare the Cajun Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,60
Lemon Pepper Mixed Dal,Lunch,224.4,14.7,35.0,4.0,Vegetarian,1. Gather your Lemon Pepper Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,134
Keto Fruit Smoothie,Breakfast,162.0,2.2,9.0,1.8,Vegetarian,1. Prepare the Keto Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,32
Spicy Chicken Breast & Broccoli,Lunch,262.5,35.0,11.0,5.2,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Spicy Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,128
Cheesy Bacon Strips,Breakfast,182.0,10.8,0.0,16.0,Non-Vegetarian,1. Prepare the Cheesy Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,67
Herb-Roasted Chicken Breast,Lunch,189.7,32.6,0.0,3.6,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Herb-Roasted Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,90
Garlic Black Beans,Lunch,121.0,7.4,24.0,0.0,Vegetarian,1. Gather your Garlic Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,78
Keto Scrambled Egg Whites,Breakfast,108.0,24.2,0.4,0.0,Non-Vegetarian,1. Prepare the Keto Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,61
Keto Bacon Strips,Breakfast,117.0,9.9,0.0,18.0,Non-Vegetarian,1. Prepare the Keto Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,70
Honey Glazed Cottage Cheese,Snack,162.0,14.0,9.0,4.4,Vegetarian,1. Simply portion out your Honey Glazed Cottage Cheese. 2. Store the rest in an airtight container for lasting freshness.,68
Cajun Fruit Smoothie,Breakfast,207.0,2.0,49.5,1.1,Vegetarian,1. Prepare the Cajun Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,132
BBQ Tuna Salad,Lunch,390.0,28.0,15.0,16.5,Non-Vegetarian,1. Gather your BBQ Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,149
Buttermilk White Rice,Lunch,287.0,4.4,52.8,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Buttermilk White Rice. 3. Simmer covered for 15-20 mins until fluffy.,143
Teriyaki Black Beans,Lunch,137.5,7.4,32.0,0.0,Vegetarian,1. Gather your Teriyaki Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,98
Smoked Scrambled Egg Whites,Breakfast,132.0,24.2,2.0,0.0,Non-Vegetarian,1. Prepare the Smoked Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,66
Extra Lean Peanut Butter Toast,Snack,176.0,9.6,20.0,6.0,Vegetarian,1. Simply portion out your Extra Lean Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,89
Loaded Tuna Sandwich,Lunch,640.0,36.4,52.5,27.0,Non-Vegetarian,1. Gather your Loaded Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,290
Chipotle Protein Smoothie,Breakfast,240.0,26.2,16.5,3.9,Vegetarian,1. Prepare the Chipotle Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,116
Sweet & Sour Turkey Wrap,Lunch,455.0,25.0,51.0,12.0,Non-Vegetarian,1. Gather your Sweet & Sour Turkey Wrap ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,220
Extra Lean Edamame,Snack,96.0,13.2,10.0,2.5,Vegetarian,1. Simply portion out your Extra Lean Edamame. 2. Store the rest in an airtight container for lasting freshness.,64
Smoked Cereal with Milk,Breakfast,231.0,8.8,35.0,4.8,Vegetarian,1. Prepare the Smoked Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,121
Spicy Edamame,Snack,126.0,11.0,11.0,5.2,Vegetarian,1. Simply portion out your Spicy Edamame. 2. Store the rest in an airtight container for lasting freshness.,68
Buttermilk Sweet Potato,Dinner,154.0,2.2,31.2,0.0,Vegetarian,1. Gather your Buttermilk Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,84
Loaded Boiled Eggs,Snack,224.0,15.6,1.5,18.0,Non-Vegetarian,1. Simply portion out your Loaded Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,88
Herb-Roasted Sweet Potato,Dinner,126.5,2.1,27.3,0.0,Vegetarian,1. Gather your Herb-Roasted Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,74
Sweet & Sour Cereal with Milk,Breakfast,273.0,8.0,59.5,4.0,Vegetarian,1. Prepare the Sweet & Sour Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,179
Smoked Shrimp Pasta,Dinner,528.0,33.0,55.0,14.4,Non-Vegetarian,1. Gather your Smoked Shrimp Pasta ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,256
BBQ Chia Seed Pudding,Breakfast,247.0,8.0,30.0,11.0,Vegetarian,1. Prepare the BBQ Chia Seed Pudding base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,122
Extra Lean Protein Bar,Snack,160.0,24.0,22.0,3.0,Vegetarian,1. Simply portion out your Extra Lean Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,122
Teriyaki Beef Stir Fry,Dinner,600.0,33.6,56.0,20.0,Non-Vegetarian,1. Gather your Teriyaki Beef Stir Fry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,274
Loaded Quinoa Bowl,Lunch,512.0,18.2,67.5,18.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Loaded Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,259
Sweet & Sour Tuna Sandwich,Lunch,520.0,28.0,59.5,15.0,Non-Vegetarian,1. Gather your Sweet & Sour Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,256
Teriyaki Protein Smoothie,Breakfast,250.0,26.2,24.0,3.0,Vegetarian,1. Prepare the Teriyaki Protein Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,133
Chipotle Mixed Dal,Lunch,264.0,14.7,38.5,5.2,Vegetarian,1. Gather your Chipotle Mixed Dal ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,146
Garlic Baked Salmon,Dinner,495.0,36.8,12.0,30.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Garlic Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,199
Honey Glazed Caesar Salad,Lunch,405.0,10.0,27.0,24.2,Vegetarian,1. Gather your Honey Glazed Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,153
Extra Lean Avocado Toast,Breakfast,200.0,7.2,24.0,7.5,Vegetarian,1. Prepare the Extra Lean Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,97
Buttermilk Tuna Salad,Lunch,420.0,30.8,12.0,22.5,Non-Vegetarian,1. Gather your Buttermilk Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,163
Herb-Roasted Scrambled Egg Whites,Breakfast,138.0,23.1,2.1,0.0,Non-Vegetarian,1. Prepare the Herb-Roasted Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,63
Cajun Vegetable Curry,Dinner,345.0,8.0,33.0,17.2,Vegetarian,1. Gather your Cajun Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,146
Cajun Paneer Tikka,Dinner,402.5,18.0,13.2,28.7,Vegetarian,1. Cube the Cajun Paneer Tikka. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,150
Spicy Peanut Butter Toast,Snack,231.0,8.0,22.0,12.6,Vegetarian,1. Simply portion out your Spicy Peanut Butter Toast. 2. Store the rest in an airtight container for lasting freshness.,106
Keto Baked Salmon,Dinner,405.0,38.5,2.0,50.4,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Keto Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,227
Keto Mashed Potatoes,Dinner,189.0,4.4,6.0,14.4,Vegetarian,1. Gather your Keto Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,62
Chipotle Boiled Eggs,Snack,168.0,12.6,1.1,13.0,Non-Vegetarian,1. Simply portion out your Chipotle Boiled Eggs. 2. Store the rest in an airtight container for lasting freshness.,67
Spicy Scrambled Egg Whites,Breakfast,126.0,22.0,2.2,0.0,Non-Vegetarian,1. Prepare the Spicy Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,60
Garlic Steak,Dinner,550.0,42.0,0.0,38.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Garlic Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,201
Herb-Roasted Tofu Scramble,Breakfast,184.0,14.7,4.2,12.0,Vegetarian,1. Cube the Herb-Roasted Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,77
Lemon Pepper White Rice,Lunch,209.1,4.2,44.0,0.0,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Lemon Pepper White Rice. 3. Simmer covered for 15-20 mins until fluffy.,120
BBQ Tofu,Lunch,182.0,15.0,3.0,8.8,Vegetarian,1. Cube the BBQ Tofu. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,67
Honey Glazed Mashed Potatoes,Dinner,283.5,4.0,54.0,8.8,Vegetarian,1. Gather your Honey Glazed Mashed Potatoes ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,167
Spicy Avocado Toast,Breakfast,262.5,6.0,26.4,15.8,Vegetarian,1. Prepare the Spicy Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,120
Lemon Pepper Fruit Smoothie,Breakfast,183.6,2.1,45.0,1.0,Vegetarian,1. Prepare the Lemon Pepper Fruit Smoothie base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,120
Smoked Tuna Sandwich,Lunch,440.0,30.8,35.0,18.0,Non-Vegetarian,1. Gather your Smoked Tuna Sandwich ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,210
Cheesy Sweet Potato,Dinner,154.0,2.4,28.6,0.0,Vegetarian,1. Gather your Cheesy Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,78
Sweet & Sour Apple,Snack,123.5,0.5,42.5,0.3,Vegetarian,1. Simply portion out your Sweet & Sour Apple. 2. Store the rest in an airtight container for lasting freshness.,108
Cajun Caesar Salad,Lunch,345.0,10.0,16.5,25.3,Vegetarian,1. Gather your Cajun Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,130
Teriyaki Cereal with Milk,Breakfast,262.5,8.4,56.0,4.0,Vegetarian,1. Prepare the Teriyaki Cereal with Milk base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,171
Garlic Chickpea Curry,Dinner,330.0,12.6,48.0,11.0,Vegetarian,1. Gather your Garlic Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,179
Extra Lean Vegetable Curry,Dinner,240.0,9.6,30.0,7.5,Vegetarian,1. Gather your Extra Lean Vegetable Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,118
Teriyaki Avocado Toast,Breakfast,312.5,6.3,38.4,15.0,Vegetarian,1. Prepare the Teriyaki Avocado Toast base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,149
Lemon Pepper Chicken Breast & Broccoli,Lunch,255.0,36.8,10.0,5.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Lemon Pepper Chicken Breast & Broccoli to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,130
Chipotle Steak and Rice,Dinner,720.0,42.0,49.5,32.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Chipotle Steak and Rice to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,310
Chipotle Tofu Scramble,Breakfast,192.0,14.7,4.4,13.0,Vegetarian,1. Cube the Chipotle Tofu Scramble. 2. Toss in a pan with 1 tsp oil and your favorite spices. 3. Sauté on medium heat for 10-15 mins until golden brown. Serve hot!,80
Extra Lean Baked Salmon,Dinner,360.0,42.0,10.0,14.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Extra Lean Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,165
Protein Bar,Snack,200.0,20.0,22.0,6.0,Vegetarian,1. Simply portion out your Protein Bar. 2. Store the rest in an airtight container for lasting freshness.,86
Cheesy Hummus & Carrots,Snack,210.0,6.0,19.8,12.8,Vegetarian,1. Simply portion out your Cheesy Hummus & Carrots. 2. Store the rest in an airtight container for lasting freshness.,96
Smoked Pancakes,Breakfast,275.0,6.6,35.0,12.0,Vegetarian,1. Prepare the Smoked Pancakes base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,134
Spicy Chickpea Curry,Dinner,315.0,12.0,44.0,10.5,Vegetarian,1. Gather your Spicy Chickpea Curry ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,166
Loaded Scrambled Eggs,Breakfast,224.0,15.6,1.5,18.0,Non-Vegetarian,1. Prepare the Loaded Scrambled Eggs base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,88
Cajun Black Beans,Lunch,126.5,7.0,22.0,0.0,Vegetarian,1. Gather your Cajun Black Beans ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,72
Cheesy Tuna Salad,Lunch,420.0,33.6,11.0,24.0,Non-Vegetarian,1. Gather your Cheesy Tuna Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,172
Spicy Quinoa Bowl,Lunch,336.0,14.0,49.5,10.5,Vegetarian,1. Rinse thoroughly. 2. Boil 2 cups of water for every 1 cup of Spicy Quinoa Bowl. 3. Simmer covered for 15-20 mins until fluffy.,185
Honey Glazed Salmon Fillet,Dinner,540.0,34.0,0.0,30.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Honey Glazed Salmon Fillet to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,162
Steak,Dinner,500.0,40.0,0.0,35.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,188
Baked Salmon,Dinner,450.0,35.0,10.0,28.0,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Baked Salmon to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,182
Scrambled Egg Whites,Breakfast,120.0,22.0,2.0,0.0,Non-Vegetarian,1. Prepare the Scrambled Egg Whites base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,43
Spicy Steak,Dinner,525.0,40.0,0.0,36.8,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Spicy Steak to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,192
Extra Lean Chicken Breast,Lunch,132.0,37.2,0.0,1.5,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Extra Lean Chicken Breast to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,97
Spicy Pork Chop & Mash,Dinner,577.5,35.0,44.0,26.2,Non-Vegetarian,1. Preheat grill or skillet. 2. Season the Spicy Pork Chop & Mash to your liking. 3. Cook over medium-high heat for roughly 6-8 mins per side until the internal temperature is safe. 4. Rest for 5 mins before slicing.,263
Lemon Pepper Caesar Salad,Lunch,306.0,10.5,15.0,22.0,Vegetarian,1. Gather your Lemon Pepper Caesar Salad ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,119
Lemon Pepper Sweet Potato,Dinner,112.2,2.1,26.0,0.0,Vegetarian,1. Gather your Lemon Pepper Sweet Potato ingredients. 2. Sauté or bake in the oven at 375°F (190°C) until thoroughly warmed and aromatic. 3. Plate and garnish.,70
Loaded Bacon Strips,Breakfast,208.0,11.7,0.0,18.0,Non-Vegetarian,1. Prepare the Loaded Bacon Strips base ingredients. 2. Warm up a pan over medium heat. 3. Cook for a few minutes until beautifully set and golden. 4. Plate nicely to start your day!,74
